Regional Indicator,Year,Life Ladder,Rounded_Score
Central and Eastern Europe,2005,5.276597023,5.0
Central and Eastern Europe,2006,5.421468257833333,5.0
Central and Eastern Europe,2007,5.056003349428572,5.0
Central and Eastern Europe,2008,5.41822469225,5.0
Central and Eastern Europe,2009,5.167494456066667,5.0
Central and Eastern Europe,2010,5.073182582933333,5.0
Central and Eastern Europe,2011,5.176118983166667,5.0
Central and Eastern Europe,2012,5.3060648582352945,5.0
Central and Eastern Europe,2013,5.2954644561875,5.0
Central and Eastern Europe,2014,5.405623660470589,5.0
Central and Eastern Europe,2015,5.405670418470588,5.0
Central and Eastern Europe,2016,5.5142252865294115,6.0
Central and Eastern Europe,2017,5.7104454636875,6.0
Central and Eastern Europe,2018,5.761223372235294,6.0
Central and Eastern Europe,2019,5.797570032176471,6.0
Central and Eastern Europe,2020,6.069687605,6.0
Central and Eastern Europe,2021,6.1897367478,6.0
Central and Eastern Europe,2022,6.052778124833334,6.0
Commonwealth of Independent States,2006,4.8347706360909095,5.0
Commonwealth of Independent States,2007,4.8871736765,5.0
Commonwealth of Independent States,2008,5.125530676363637,5.0
Commonwealth of Independent States,2009,5.07079537725,5.0
Commonwealth of Independent States,2010,4.930266293636364,5.0
Commonwealth of Independent States,2011,5.0902786255,5.0
Commonwealth of Independent States,2012,5.23564573125,5.0
Commonwealth of Independent States,2013,5.293664654083334,5.0
Commonwealth of Independent States,2014,5.3342439334166665,5.0
Commonwealth of Independent States,2015,5.254741907166667,5.0
Commonwealth of Independent States,2016,5.165872494333333,5.0
Commonwealth of Independent States,2017,5.304230411833333,5.0
Commonwealth of Independent States,2018,5.300795634666667,5.0
Commonwealth of Independent States,2019,5.530862927333334,6.0
Commonwealth of Independent States,2020,5.666615069,6.0
Commonwealth of Independent States,2021,5.580663681000001,6.0
Commonwealth of Independent States,2022,5.59164720775,6.0
East Asia,2005,6.515817165,7.0
East Asia,2006,5.39822757275,5.0
East Asia,2007,5.369348764250001,5.0
East Asia,2008,5.2207588355,5.0
East Asia,2009,5.33602643,5.0
East Asia,2010,5.547067165333334,6.0
East Asia,2011,5.843449989833332,6.0
East Asia,2012,5.593542099,6.0
East Asia,2013,5.6825068474,6.0
East Asia,2014,5.342562845714285,5.0
East Asia,2015,5.411225477833334,5.0
East Asia,2016,5.315222092857143,5.0
East Asia,2017,5.250860520714285,5.0
East Asia,2018,5.739373684,6.0
East Asia,2019,5.785714705833333,6.0
East Asia,2020,5.9565829435,6.0
East Asia,2021,5.892710606166666,6.0
East Asia,2022,6.13075029875,6.0
Latin America and Caribbean,2005,6.795683384,7.0
Latin America and Caribbean,2006,5.576129754444445,6.0
Latin America and Caribbean,2007,5.802009077647059,6.0
Latin America and Caribbean,2008,5.750263891736842,6.0
Latin America and Caribbean,2009,6.366542074388889,6.0
Latin America and Caribbean,2010,6.17966759831579,6.0
Latin America and Caribbean,2011,6.0457336188,6.0
Latin America and Caribbean,2012,6.089594840947368,6.0
Latin America and Caribbean,2013,6.1590315341999995,6.0
Latin America and Caribbean,2014,6.065303671400001,6.0
Latin America and Caribbean,2015,5.940901091263158,6.0
Latin America and Caribbean,2016,5.896981214157894,6.0
Latin America and Caribbean,2017,5.99267653225,6.0
Latin America and Caribbean,2018,5.951090772888889,6.0
Latin America and Caribbean,2019,6.117599713210526,6.0
Latin America and Caribbean,2020,5.6754920781875,6.0
Latin America and Caribbean,2021,5.942394706888889,6.0
Latin America and Caribbean,2022,6.196846685894737,6.0
Middle East and North Africa,2005,5.676704645166667,6.0
Middle East and North Africa,2006,6.159072518,6.0
Middle East and North Africa,2007,5.811907563857143,6.0
Middle East and North Africa,2008,5.383293330625,5.0
Middle East and North Africa,2009,5.728942632666667,6.0
Middle East and North Africa,2010,5.618050404857143,6.0
Middle East and North Africa,2011,5.420818433125,5.0
Middle East and North Africa,2012,5.274854295411765,5.0
Middle East and North Africa,2013,5.374365059533333,5.0
Middle East and North Africa,2014,5.446667035533333,5.0
Middle East and North Africa,2015,5.4090970834,5.0
Middle East and North Africa,2016,5.41117613025,5.0
Middle East and North Africa,2017,5.3281234800625,5.0
Middle East and North Africa,2018,5.091542601642857,5.0
Middle East and North Africa,2019,5.3423169772,5.0
Middle East and North Africa,2020,5.159127473769231,5.0
Middle East and North Africa,2021,5.013372520666667,5.0
Middle East and North Africa,2022,5.038573927555556,5.0
North America and ANZ,2005,7.3793683055,7.0
North America and ANZ,2006,7.2434039115,7.0
North America and ANZ,2007,6.8088268278,7.0
North America and ANZ,2008,7.35022950175,7.0
North America and ANZ,2009,7.3229284285,7.0
North America and ANZ,2010,6.6111316678,7.0
North America and ANZ,2011,6.5630545616000004,7.0
North America and ANZ,2012,7.22164678575,7.0
North America and ANZ,2013,7.37185001375,7.0
North America and ANZ,2014,7.2624537945,7.0
North America and ANZ,2015,7.25097525125,7.0
North America and ANZ,2016,6.2434549808,6.0
North America and ANZ,2017,6.493342018200001,6.0
North America and ANZ,2018,7.151365161,7.0
North America and ANZ,2019,7.1229867935,7.0
North America and ANZ,2020,7.1119356155,7.0
North America and ANZ,2021,7.0367057325,7.0
North America and ANZ,2022,6.90510201425,7.0
South Asia,2005,5.224657536,5.0
South Asia,2006,4.658952236199999,5.0
South Asia,2007,4.769953330333333,5.0
South Asia,2008,4.513228075714286,5.0
South Asia,2009,4.658537209125,5.0
South Asia,2010,4.732077032375,5.0
South Asia,2011,4.471889495875,4.0
South Asia,2012,4.6981472971111105,5.0
South Asia,2013,4.515918765571429,5.0
South Asia,2014,4.466257035875,4.0
South Asia,2015,4.557269266857142,5.0
South Asia,2016,4.751692136166667,5.0
South Asia,2017,4.363463095285715,4.0
South Asia,2018,4.447468698,4.0
South Asia,2019,4.189336742714286,4.0
South Asia,2020,4.9777441978,5.0
South Asia,2021,3.8883647519999998,4.0
South Asia,2022,3.8001111268,4.0
Southeast Asia,2006,5.239425778375,5.0
Southeast Asia,2007,5.496604978875,5.0
Southeast Asia,2008,5.309534073,5.0
Southeast Asia,2009,5.2531694002857146,5.0
Southeast Asia,2010,5.452007497857143,5.0
Southeast Asia,2011,5.4762378336249995,5.0
Southeast Asia,2012,5.1665698885,5.0
Southeast Asia,2013,5.209553867625,5.0
Southeast Asia,2014,5.584393918375,6.0
Southeast Asia,2015,5.39950305225,5.0
Southeast Asia,2016,5.260132176428571,5.0
Southeast Asia,2017,5.193576038,5.0
Southeast Asia,2018,5.4024257661111115,5.0
Southeast Asia,2019,5.504394743222222,6.0
Southeast Asia,2020,5.17019468525,5.0
Southeast Asia,2021,5.441043271,5.0
Southeast Asia,2022,5.52714812725,6.0
Sub-Saharan Africa,2006,4.150682428565218,4.0
Sub-Saharan Africa,2007,4.47232254745,4.0
Sub-Saharan Africa,2008,4.348331919153846,4.0
Sub-Saharan Africa,2009,4.321347851421053,4.0
Sub-Saharan Africa,2010,4.189672178777778,4.0
Sub-Saharan Africa,2011,4.4871447404,4.0
Sub-Saharan Africa,2012,4.25815250396,4.0
Sub-Saharan Africa,2013,4.146283328607143,4.0
Sub-Saharan Africa,2014,4.072383972806452,4.0
Sub-Saharan Africa,2015,4.2132076342666664,4.0
Sub-Saharan Africa,2016,4.1748381852,4.0
Sub-Saharan Africa,2017,4.479563628882353,4.0
Sub-Saharan Africa,2018,4.543266548852941,5.0
Sub-Saharan Africa,2019,4.499658865147059,4.0
Sub-Saharan Africa,2020,4.76324032545,5.0
Sub-Saharan Africa,2021,4.485699767652173,4.0
Sub-Saharan Africa,2022,4.328292661185185,4.0
Western Europe,2005,7.024559541090909,7.0
Western Europe,2006,6.881718397125,7.0
Western Europe,2007,6.921081109363637,7.0
Western Europe,2008,6.930286407529412,7.0
Western Europe,2009,6.521502524625,7.0
Western Europe,2010,6.544338090095238,7.0
Western Europe,2011,6.5192397724545454,7.0
Western Europe,2012,6.608123115956522,7.0
Western Europe,2013,6.48301417825,6.0
Western Europe,2014,6.628506456095238,7.0
Western Europe,2015,6.569594331478261,7.0
Western Europe,2016,6.810188134428572,7.0
Western Europe,2017,6.887084643047619,7.0
Western Europe,2018,6.969390654650001,7.0
Western Europe,2019,7.0147254467,7.0
Western Europe,2020,6.9183879375,7.0
Western Europe,2021,6.9223083735,7.0
Western Europe,2022,6.806046349666666,7.0
